Округ,Название,Адрес,Имя контакта,Фамилия контакта,Телефон контакта,Почта контакта
Платят,М-А Корпоратив,"Остаповский проезд дом 9 стр 6, работают с 10 до 20","","","",mercedes_atelye@mail.ru
Платят,Максим Шавкатович,"","","",89637115606.,""
Платят,Максим Шавкатович,"","","",89637115606,""

СВАО,Мастер-Микс,"Дмитровское шоссе 98, стр 1",,,,
ЮЗАО,МБ-Беляево,ул. Академика Волгина д. 6а,"","",+7 495 788 10 10 (int. 707),kuzov@mb-belyaevo.ru
ВАО,МБ-Измайлово,Реутов ш. Энтузиастов д.2,"","",+7 495 66-00000 (вн.6302),tishkin_ks@mb-i.ru
СВАО,МГК-Сервис (МО),"МО, г.Королёв, ул. Советская, д.39","","",74955157475; 74955108665; 79262951031,""

Платят,Мерседес-Ателье Корпоратив,ул. Автозаводская д.20 стр 1,,,,
СВАО,Мерседес-Бенц РУС (Алтуфьево),"Мытищинский р-н. ТПЗ Алтуфьево. Автомобильный проезд. Влад 5, стр 9. (!! По средам, в светлое время суток !!)","","",+7(916)270-61-07,dmitry.bochkarev@daimler.com
СВАО,Мерседес-Бенц РУС (Алтуфьево),"Мытищинский р-н. ТПЗ Алтуфьево. Автомобильный проезд. Влад 5, стр 9. (!! По средам, в светлое время суток !!)","","","",Kuzov@daimler.com
СВАО,Мерседес-Бенц РУС (Алтуфьево),"Мытищинский р-н. ТПЗ Алтуфьево. Автомобильный проезд. Влад 5, стр 9. (!! По средам, в светлое время суток !!)","","","",aleksey.alekseev@daimler.com
СВАО,Мерседес-Бенц РУС (Алтуфьево),"Мытищинский р-н. ТПЗ Алтуфьево. Автомобильный проезд. Влад 5, стр 9. (!! По средам, в светлое время суток !!)","","","",Kuzov@mbrus.ru
СВАО,Мерседес-Бенц РУС (Алтуфьево),"Мытищинский р-н. ТПЗ Алтуфьево. Автомобильный проезд. Влад 5, стр 9. (!! По средам, в светлое время суток !!)","","","",Kuzov@mbrus.ru
САО,Мерседес-Бенц РУС (Ленинградский),Ленинградский пр-т 39 А,Алексей,Козлов, +7 (495) 225 00 00  доб. 60955,sergey.pechenin@daimler.com
ЮЗАО,МеханизМ,Ул. Рябиновая д. 43 к. 2,Николай,"",8(916)683-83-82,mehanizma@bk.ru
ЮЗАО,МеханизМ,Ул. Рябиновая д. 43 к. 2,"","",8(916)3494111,""
ЮЗАО,МеханизМ,Ул. Рябиновая д. 43 к. 2,"","",8(916)349-41-11,""
ЮАО,МКЦ-МКАД 29 км,"СЕЛО БУЛАТНИКОВО, ДОМ 10ю (!!! ПН-ПТ 13:00-17:00 !!!)","","",8(915)070-70-75,inchkeyp_29km_mkad@mail.ru
ЮАО,МКЦ-МКАД 29 км,"СЕЛО БУЛАТНИКОВО, ДОМ 10ю (!!! ПН-ПТ 13:00-17:00 !!!)",Влад,"",8(925)025-92-03,Vladislav.kapranov@borishof.ru
ЮАО,МКЦ-МКАД 29 км,"СЕЛО БУЛАТНИКОВО, ДОМ 10ю (!!! ПН-ПТ 13:00-17:00 !!!)","","",+7(966)001-66-57,aleksandr.markunin@inchcape.ru
ЮАО,МКЦ-МКАД 29 км,"СЕЛО БУЛАТНИКОВО, ДОМ 10ю (!!! ПН-ПТ 13:00-17:00 !!!)","","",+7(903)624-54-64,""
ЮАО,МКЦ-МКАД 29 км,"СЕЛО БУЛАТНИКОВО, ДОМ 10ю (!!! ПН-ПТ 13:00-17:00 !!!)",Дмитрий,Король,+7(495)728-41-11  доб. 48930,dmitriy.korol@borishof.ru
ЮАО,МКЦ-МКАД 29 км,"СЕЛО БУЛАТНИКОВО, ДОМ 10ю (!!! ПН-ПТ 13:00-17:00 !!!)",Александр,Думнов,+7(495)728-41-11  доб. 48931,aleksandr.dumnov@borishof.ru
ЮВАО,МонтажАвто,"ул. Старообрядческая, д. 28, с.1","","",79652474444,6476727@mail.ru
ВАО,Мосрентсервис,"Москва, ул. Краснобогатырская, 89, стр.1",,,,soglasovanie@mosrent.ru
ВАО,Мосрентсервис,"Москва, ул. Краснобогатырская, 89, стр.1",,,,d.kuzmin@mosrent.ru
ВАО,МотоКомпани,"Москва, 1я улица Измайловского зверинца, д.8","","",+7(499)322-27-53,moto-company@mail.ru
ЗАО,М-Пауэр,Максимова д.5 (Центр Ауди),"","",8(903)115-79-98,Napr@sis-motors.ru
ЗАО,М-Пауэр,Максимова д.5 (Центр Ауди),"","",8 (499) 579-92-97,""
ЮАО,МУСА МОТОРС В,МКАД 29км,"","","",inchkeyp_29km_mkad@mail.ru
ЮАО,МУСА МОТОРС В,МКАД 29км,"","","",vladislav.kapranov@inchcape.ru
ЮАО,МУСА МОТОРС В,МКАД 29км,"","","",aleksandr.markunin@inchcape.ru
ЮАО,МУСА МОТОРС (Варшавка),Варшавское ш. 122 А,Сергей,Гладков,доб. 12138,sarkhan.safiev@inchcape.ru
ЮАО,МУСА МОТОРС (Варшавка),Варшавское ш. 122 А,"","","",dmitry.gladky@inchcape.ru
ЮАО,Муса Моторс Джей Эл Эр,Село Булатниково. Д. 10ю,"","","",aleksandr.markunin@inchcape.ru
ЮАО,Муса Моторс Джей Эл Эр,Село Булатниково. Д. 10ю,Михаил,"",+7 929 985 31 33,inchkeyp_29km_mkad@mail.ru
ЮАО,Муса Моторс Джей Эл Эр,Село Булатниково. Д. 10ю,"","","",vladislav.kapranov@inchcape.ru
ЮАО,Муса Моторс Джей Эл Эр,Село Булатниково. Д. 10ю,"","","",Ilya.S.Fedorov@inchcape.ru
ЮАО,Муса Моторс Джей Эл Эр,Село Булатниково. Д. 10ю,"","","",sergey.kashtanov@inchcape.ru
ЮАО,Муса Моторс Джей Эл Эр,Село Булатниково. Д. 10ю,"","","",sergey.kashtanov@inchcape.ru
СЗАО,Муса Моторс Магистральная (не выбирать),2 Магистральная д 18 а стр 3,"","",8(985)753-5436,interavto2011@gmail.com
СЗАО,Муса Моторс Магистральная (не выбирать),2 Магистральная д 18 а стр 3,"","","",pavel.fersman@inchcape.ru
СЗАО,Мэйджор Волоколамка (58-),Волоколамское ш.93 (ПТ-выходной),"","","",kuzov_vlk_osmotr@major-auto.ru
СЗАО,Мэйджор Волоколамка (58-),Волоколамское ш.93 (ПТ-выходной),Денис,Комоликов,"",denis.komolikov@major-auto.ru
ЮВАО,Мэйджор Дзержинка (112-),"Дзержинский г.Алексеевская ул,12",Сергей,"",8-905-551-51-52,kuzov-kpn@major-auto.ru
ЮВАО,Мэйджор Дзержинка (112-),"Дзержинский г.Алексеевская ул,12","","",8-495-185-90-96 доб. 4159,roman.isaev@hyundai-major.ru
ЮВАО,Мэйджор Дзержинка (112-),"Дзержинский г.Алексеевская ул,12",Дмитрий,Борец,"",dmitriy.borets@major-auto.ru
ЗАО,Мэйджор Лыковский (79-),"Ул Маршала Прошлякова, 13 (ПН-ЧТ)","","",(495)739-0303 доб. 0354,tech@major-auto.ru
ЗАО,Мэйджор Лыковский (79-),"Ул Маршала Прошлякова, 13 (ПН-ЧТ)",Денис,Чугунов,"",denis.chugunov@major-auto.ru
ЮЗАО,Мэйджор МКАД 47 км (128-),МКАД 47км,"","","",kuzovmkad@major-auto.ru
ЗАО,Мэйджор Новая Рига (125-),"Новорижское шоссе, 9 км от МКАД","","","",nikulin_i@major-auto.ru
ЗАО,Мэйджор Новая Рига (125-),"Новорижское шоссе, 9 км от МКАД",Владислав,Жадов,+7(495)229-99-88,Vlad.zhadov@major-auto.ru
ЗАО,Мэйджор Новая Рига (сервис) (22-),"Новорижское шоссе, 9 км от МКАД. ","","","",borisov_d@major-auto.ru
ЗАО,Мэйджор Новая Рига (тойота) (36-),"Новорижское шоссе, 9 км от МКАД (пн-ср)","","",8-903-522-21-14,rybakov_a@major-auto.ru
ЗАО,Мэйджор Новая Рига (тойота) (36-),"Новорижское шоссе, 9 км от МКАД (пн-ср)",Владислав,Жадов,"",Vlad.zhadov@major-auto.ru
СВАО,Мэйджор Псковская (17-),"!!! НОВЫй АДРЕС!!! Сигнальный проезд 20, ангар 6","","","",bodydmk@major-auto.ru
СВАО,Мэйджор Псковская (17-),"!!! НОВЫй АДРЕС!!! Сигнальный проезд 20, ангар 6","","","",servisedmk@major-auto.ru
СВАО,Мэйджор Псковская (17-),"!!! НОВЫй АДРЕС!!! Сигнальный проезд 20, ангар 6","","","",bodydmk3@major-auto.ru
СВАО,Мэйджор Псковская (17-),"!!! НОВЫй АДРЕС!!! Сигнальный проезд 20, ангар 6",Константин,Калинин,"",kalinin_kk@major-auto.ru
СВАО,Мэйджор Псковская (17-),"!!! НОВЫй АДРЕС!!! Сигнальный проезд 20, ангар 6","","","",bodydmk2@major-auto.ru
СЗАО,Мэйджор Цветочный (51-),"Цветочный проезд, д.4 По средам.",Роман,Губка,8(916) 986 72 08,gubka_r@major-auto.ru
СЗАО,Мэйджор Цветочный (51-),"Цветочный проезд, д.4 По средам.","","","",sogl_tcv2@major-auto.ru
ЗАО,Независимость-Химки,"Ул. Максимова, 5","","","",nezavisimost_audi@mail.ru
ВАО,Немецкий Дом Балашиха,"МО, Балашиха, ш.Энтузиастов, д.11А","","",74951500405,Komplekt@toyota-i.ru
ВАО,Не Просто Сервис,"МО, г.Балашиха, квартал Западная Промзона, 2А","","","",""
ВАО,Не Просто Сервис,"МО, г.Балашиха, квартал Западная Промзона, 2А",Александр,"",+7(967)280-78-66,""

,нет з/ч,,,,,
ЮАО,НИВЮС (Авто Форпост),ул. Ленинская слобода 28 (звонить перед приездом!),Валерий,"",+7(919)764-21-08,kopatskii@nivus.ru

ВАО,НИДЛ-С,Кетчерская 9,,,,
ЗАО,Ник-Авто,"ул. Барклая, д.6. стр.2. Спросить почту!","","",+7(985)765-22-15,""
СВАО,Ник-Авто (Красная сосна),ул. Красной Сосны д. 14с,"","",+79857652215,nik-avto@inbox.ru
СВАО,Ник-Авто (Красная сосна),ул. Красной Сосны д. 14с,"","",+79857652215,nik-avto@inbox.ru
ЮАО,НИКАМОТОРС Холдинг (Коломенское),"проспект Андропова, д. 10 А","","",8(495)7400110 доб. 2152,apetr@nikamotors.ru
ЮАО,НИКАМОТОРС Холдинг (Коломенское),"проспект Андропова, д. 10 А","","","",mtru@nikamotors.ru
СВАО,НИКАМОТОРС Холдинг (Отрадное),"проспект Андропова, д. 10 А, ул Римского-Корсака, 3, стр1","","",доб. 1128,Avoln@nikamotors.ru

СЗАО,Нико-Авто,"г. Зеленоград, 4801-й проезд д5 (вт-сб)",,,,

САО,Норд-Авто (Автогермес - Зеленоград),"Москва, Варшавское ш. 170г, ворота № 17",,,,

СЗАО,Норд-Авто (Волоколамка),"Москва, Варшавское ш. 170г, ворота № 17",,,,
САО,Норд-Авто (Дмитровка),"Москва, Варшавское ш. 170г, ворота № 17",,,,detali-germes-vidacha@yandex.ru
Марченко,НТ-Групп,"ул. Монтажная, д. 4А стр 2. (Перед приездом позвонить)","","",8(915)431-76-86,nt-partner@bk.ru
Марченко,НТ-Групп,"ул. Монтажная, д. 4А стр 2. (Перед приездом позвонить)","","",8(985)830-88-55,""
ЮЗАО,Обухов Автосервис,"поселение Московский, Киевское шоссе 24 км. Владение 1","","",8(495)775-51-14,obuhov_kuzov@obukhov.ru

СЗАО,Обухов Автосервис (Митино),"Москва, 1-й Митинский пер., 12, корп. 1",,,,
Платят,ООО АвтоР,ул. Ермакова Роща д.7а стр.1,"","",8(495)7750042,avtor.2015@list.ru
ЮЗАО,"ООО ""КарТехник М""","ул. Лобачевского, д.130а !Позвонить перед приездом!","","",+7(495)441-8089,""
ЮЗАО,"ООО ""КарТехник М""","ул. Лобачевского, д.130а !Позвонить перед приездом!","","",+7(916)182-3501,""
ЮЗАО,"ООО ""КарТехник М""","ул. Лобачевского, д.130а !Позвонить перед приездом!",Влад,"",+7(916)182-3501,""
ЮВАО,ООО Ключавто-мку Люберцы,Люберцы. Новорязанское ш. дом 1Г.,Мастера цеха,"",+7(958)642-92-21,mku_lub@keyauto.ru
ЮВАО,ООО Ключавто-мку Люберцы,Люберцы. Новорязанское ш. дом 1Г.,"","","",v.korotkevich@keyauto.ru
ЮВАО,ООО Ключавто-мку Люберцы,Люберцы. Новорязанское ш. дом 1Г.,"","","",a.anatskiy@keyauto.ru
ЮВАО,ООО Ключавто-мку Люберцы,Люберцы. Новорязанское ш. дом 1Г.,"","","",a.mashkov@keyauto.ru
ЮВАО,ООО Ключавто-мку Люберцы,Люберцы. Новорязанское ш. дом 1Г.,"","","",sb_lub@keyauto.ru
ЮВАО,ООО Ключавто-мку Люберцы,Люберцы. Новорязанское ш. дом 1Г.,"","","",a.samohin@keyauto.ru
ЮВАО,ООО Ключавто-мку Люберцы,Люберцы. Новорязанское ш. дом 1Г.,"","","",A.Safonov@keyauto.ru

нет округа,ООО Корона,"",,,,
Марченко,"ООО ""КСО Моторс""","г.Москва, ш. Энтузиастов, д.12А","","",+7(495)532-0615,kuzov@o-sago.ru
Марченко,"ООО ""КСО Моторс""","г.Москва, ш. Энтузиастов, д.12А","","",+7(930)4188581,kuzov@o.sago.ru
Марченко,"ООО ""КСО Моторс""","г.Москва, ш. Энтузиастов, д.12А",Дмитрий,"",+7(977)153-08-03,""
ЗАО,ООО Премьер Авто (МО),"МО, Г.Краснознаменск, ул. Березовая Аллея, д.1/1","","",+7(495)790-790-0,Pavel.Puzyrev@volvom1.ru
ЗАО,ООО Премьер Авто (МО),"МО, Г.Краснознаменск, ул. Березовая Аллея, д.1/1","","","",zapchasti@ingos.ru
ЗАО,ООО Премьер Авто (МО),"МО, Г.Краснознаменск, ул. Березовая Аллея, д.1/1",Павел,"",+7(963)728-44-69,""

нет округа,ООО ЦКР,"",,,,
АСЦ,Оптима-Моторс,"Каширское шоссе, д.45","","","",kuzov45@rapid-avto.ru
АСЦ,Оптима-Моторс,"Каширское шоссе, д.45","","","",asc.audi.taganka@gmail.com
АСЦ,Оптима-Моторс,"Каширское шоссе, д.45","","","",uuu@rapid-avto.ru
АСЦ,Оптима-Моторс,"Каширское шоссе, д.45","","","",vydacha.asc@gmail.com
АСЦ,Оптима-Моторс (М-Финанс),Сигнальный проезд 16,"","","",vydacha.asc@gmail.com
СВАО,Оптимум-Авто Алтуфьевский,Илимская д 1б,"","","",Napr_altufyevo@optimumauto.ru
СВАО,Оптимум-Авто Алтуфьевский,Илимская д 1б,"","","",MFrolov@optimumauto.ru

БК,Оптимум-Авто (Бизнес кар),"Химки, мкр Левобережный, 78-й км МКАД вл.2",,,,

БК,Оптимум-Авто Каширский (Бизнес кар),Ленинский р-н с.п с/х им. Ленина 26 км МКАД вл. 5 стр. 4,,,,

БК,Оптимум-Авто Левобережный (Бизнес кар),"Химки, мкр Левобережный, 78-й км МКАД вл.2",,,,
БК,Оптимум-Авто Лианозовский (Бизнес кар),"г. Москва, Рублевское шоссе д.74. ",Володин Евгений Томович,"","",evolodin@optimumauto.ru
БК,Оптимум-Авто Павелецкий (Бизнес кар),Балаклавский проспект 26,"","",+7-495-221-00-41,AVolchkov@optimumauto.ru
БК,Оптимум-Авто Павелецкий (Бизнес кар),Балаклавский проспект 26,"","","",napr_paveletskaya@optimumauto.ru
БК,Оптимум-Авто Павелецкий (Бизнес кар),Балаклавский проспект 26,"","","",VKartashov@optimumauto.ru
БК,Оптимум-Авто Павелецкий (Бизнес кар),Балаклавский проспект 26,"","","",VERMAKOV@optimumauto.ru
ВАО,Оптимум-Авто Щелковский (з/н YZ***),Щелковское ш. 100 корпус 106,"","","",AAnatskiy@optimumauto.ru
ВАО,Оптимум-Авто Щелковский (з/н YZ***),Щелковское ш. 100 корпус 106,"","","",OVSmirnov@optimumauto.ru
ВАО,Оптимум-Авто Щелковский (з/н YZ***),Щелковское ш. 100 корпус 106,"","","",Alfa-strahovanie@optimumauto.ru
ВАО,Оптимум-Авто Щелковский (з/н YZ***),Щелковское ш. 100 корпус 106,"","","",info@optimumauto.ru
ВАО,Орехово-АвтоЦентр (МО),"г. Орехово-Зуево Комиссариатский тупик  дом 1 (ул. Ленина 100 Кузовной цех ""Орехово-Автоцентр"")",Павел,"",8(916)301-13-31,kuzov@hyundai-orehovo.ru

ЮАО,Офис Абсолют Страхование,Ленинская Слобода 26,,,,
АСЦ,ПАМ,Сигнальный проезд 16 стр. 16,"","",+7 (495) 967-94-77,sogl@kashirka39.ru
АСЦ,ПАМ,Сигнальный проезд 16 стр. 16,"","","",vydacha.asc@gmail.com
АСЦ,ПАМ (М-Финанс),Сигнальный проезд 16,"","","",vydacha.asc@gmail.com
ЗАО,Панавто,"Одинцовский р-н, пос.Заречье, ул.Торговая, д.4, стр.1","","","",smolensky.d@panavto.ru
ЗАО,Панавто,"Одинцовский р-н, пос.Заречье, ул.Торговая, д.4, стр.1","","","",Prokofyev.A@panavto.ru
ЗАО,Панавто,"Одинцовский р-н, пос.Заречье, ул.Торговая, д.4, стр.1","","","",ShaihnurovV@panavto.ru
ЗАО,Панавто,"Одинцовский р-н, пос.Заречье, ул.Торговая, д.4, стр.1","","","",NikishinV@panavto.ru
ЗАО,Панавто,"Одинцовский р-н, пос.Заречье, ул.Торговая, д.4, стр.1","","","",BereznyukI@panavto.ru
ЗАО,Панавто,"Одинцовский р-н, пос.Заречье, ул.Торговая, д.4, стр.1",Гребнев Демид,"",8(495)790-77-77 доб. 1389,Grebnev.D@panavto.ru
ЗАО,Панавто (1-й Магистральный тупик),"1-й Магистральный тупик, вл.9",Алексей,Сорокин,+7 495 790 77 77 доб. 238,""

Платят,Партизан,"",,,,
СВАО,ПеГас-Авто+,"Мытищинский район, 85 км МКАД, владение 3",,,,kuzov@sever-vw.ru
СВАО,ПеГас-Авто+,"Мытищинский район, 85 км МКАД, владение 3",,,,roman.gladkov@sever-vw.ru
СВАО,ПеГас-Моторс+,МО Мытищенский р-н 85 км.МКАД влад.3 стр.1,,,,kuzovnoy@fordsever.ru
САО,Пеликан Авто,"Дмитровское шоссе, 107-д","","",+7(965)228-10-50,o.kirilin@pelican.ru
САО,Пеликан Авто,"Дмитровское шоссе, 107-д",Виталий,"","",pelikan.dmitrovka@mail.ru
САО,Пеликан Авто,"Дмитровское шоссе, 107-д",Дмитрий,"",+7(903)629-59-35,""
СВАО,Пеликан-Праймари,"МО, Мытищинский р-н, Алтуфьевское ш. автодорога, 1 й км, владение 2А, стр.1",,,,Pelikan.dmitrovka@mail.ru
ЮВАО,Петровский,"МО, г. Джержинский, ул. Энергетиков, д.28 (16 км МКАД) (Белая дача).",Андрей,Исовин,84956400111 доб 5239,ppp9@petrovskiy.ru
ЮВАО,Петровский,"МО, г. Джержинский, ул. Энергетиков, д.28 (16 км МКАД) (Белая дача).","","","",maznaya.ekaterina@petrovskiy.ru
ЮВАО,Петровский,"МО, г. Джержинский, ул. Энергетиков, д.28 (16 км МКАД) (Белая дача).","","","",ttt10@petrovskiy.ru
ЮВАО,Петровский,"МО, г. Джержинский, ул. Энергетиков, д.28 (16 км МКАД) (Белая дача).","","","",ZAPBD@petrovskiy.ru
ЮВАО,Петровский,"МО, г. Джержинский, ул. Энергетиков, д.28 (16 км МКАД) (Белая дача).","","","",anisimov.sergey@petrovskiy.ru

СВАО,Петровский (Мытищи),Г. МЫТИЩИ ХЛЕБОЗАВОДСКАЯ УЛИЦА 4 (вт-сб),,,,

Платят,ПЕТРУШИН АНДРЕЙ СЕРГЕЕВИЧ,г. Орел,,,,

ЮЗАО,ПиМ-Сервис,"МКАД 47 км, внешняя сторона.",,,,

ВАО,Пит стоп,"ул. Монтажная, дом 4А стр 2.",,,,
ЮАО,Пит-Стоп Сервис,"Москва, ул. Южнопортовая, д.9, стр.2","","",+7 964 626-89-95,""
ЮАО,ПКФ СИМ Варшавка,"г.Москва, Варшавское шоссе, 26, стр. 32. (м.Нагатинская)",Владимир,Актуально на 29.04,89260592588,nmigusev@sim-auto.ru
ЮЗАО,ПКФ СИМ Введенского,"ул.Введенского, д.4а","","","",master-kuzceh2@sim-auto.ru
ЮЗАО,ПКФ СИМ Введенского,"ул.Введенского, д.4а","","",+7495-225-1566 доб. 4511,ARakutin@sim-auto.ru
ЮЗАО,ПКФ СИМ Введенского,"ул.Введенского, д.4а","","",+7495-308-08-52,Uchernikov@sim-auto.ru
САО,ПКФ СИМ Ленинградка,"Ленинградский проспект 64, предварительно звонить 8-926-165-86-30","","",8-495-925-55-15,severkuz@sim-auto.ru
ЮАО,ПОБЕДА,"г.Москва, п.Сосенское, п.Коммунарка, ул. Александры Монаховой, вл.10","","",8(495)995-11-44,""

ЮАО,ПодольскКомТранс,"Подольский р-н, п. Сельхозтехника, Домодедовское ш., д. 5",,,,
ЮАО,Полеев Александр,Кустанайская 3к2,Полеев Александр,"",8(964)633-41-26,""
ЮЗАО,Порше Центр Ленинский,"Москва, Ленинский пр-т, д.107","","",84957881911,Sergey.Ershov@porsche-leninsky.ru
ЮЗАО,Порше Центр Ленинский,"Москва, Ленинский пр-т, д.107","","","",dmartikonis@gmail.com
СЗАО,Порше Центр Москва (Ленинградка),***Ленинградское шоссе д.71А стр 10,Максим,"",+7(916)782-04-46,oleg.shutiaev@porsche.ru
СЗАО,Порше Центр Москва (Ленинградка),***Ленинградское шоссе д.71А стр 10,"","","",Anton.Samoylenko@porsche.ru
САО,"Порше Центр Москва (ПЦМ, 78км, з/н СРВ)","МКАД 78км вл.4, ООО «ЦКС»","","",8(495)602-02-22,popov@ckstation.ru
САО,"Порше Центр Москва (ПЦМ, 78км, з/н СРВ)","МКАД 78км вл.4, ООО «ЦКС»","","","",oleg.shutiaev@porsche.ru
САО,"Порше Центр Москва (ПЦМ, 78км, з/н СРВ)","МКАД 78км вл.4, ООО «ЦКС»","","","",master@ckstation.ru
САО,"Порше Центр Москва (ПЦМ, 78км, з/н СРВ)","МКАД 78км вл.4, ООО «ЦКС»","","","",a.taleev@ckstation.ru
САО,"Порше Центр Москва (ПЦМ, 78км, з/н СРВ)","МКАД 78км вл.4, ООО «ЦКС»","","","",evgeniy.kryuchkov@porsche.ru
САО,"Порше Центр Москва (ПЦМ, 78км, з/н СРВ)","МКАД 78км вл.4, ООО «ЦКС»","","",+7(495)212-0-911 доб.105,apranevsky@gmail.com
САО,"Порше Центр Москва (ПЦМ, 78км, з/н СРВ)","МКАД 78км вл.4, ООО «ЦКС»","","","",dmartikonis@gmail.com
СЗАО,Порше Центр Рублевский,"МО, Одинцовский р-н, д.Раздоры, 61км МКАД, стр.1 !!! до 16:30 !!!","","","",OKR@porsche-scc.com
СЗАО,Порше Центр Рублевский,"МО, Одинцовский р-н, д.Раздоры, 61км МКАД, стр.1 !!! до 16:30 !!!",Мастер кузовного,"",+7 (495) 249 11 11 доб. 255 / 250,belov@porsche-scc.com
ЗАО,Правильное решение,Очаковское шоссе д. 5,,,,z@zdecision.ru
СВАО,Прайм Кар,Кулаков пер.. Д. 15,,,,sogl15@ovod.ru

ВАО,ПРЕВОКС МОТОРС,Кетчерская 9,,,,
ЮВАО,Про-СТО Сервис,"Москва, Остаповский пр-д, д.10, стр.1","","",8(495)532-35-30,""
ЮВАО,Про-СТО Сервис,"Москва, Остаповский пр-д, д.10, стр.1","","",+7(967)100-40-30 ,""
ЮАО,"ПТЦ  ""КомТранс Юг""","ул. Дорожная, д. 3, корп. 20","","",+7(968)520-15-58,""
ЮАО,"ПТЦ  ""КомТранс Юг""","ул. Дорожная, д. 3, корп. 20","","",+7(499)559-99-10 * 425,kuzov@ctug.ru

САО,ПЦМ Подряд,"МКАД, 78-й километр, вл4",,,,
СЗАО,РЕАЛАВТО,"Москва, Волоколамское ш., д.4","","",8-929-636-44-11,""
СВАО,РЕГАРД-СЕРВИС,Сельскохозяйственная 26 стр 15 / Лобачевского 130А стр 16,"","",+7(985)765-2215,""
СВАО,РЕГАРД-СЕРВИС (Барклая),Сельскохозяйственная 26 стр.15,"","",+7(985)765-22-15,""

Платят,Реймерс Авто,Сколковское ш. 31,,,,
ЗАО,Реймерс Сервис,Сколковское ш. 31,"","",+7(977)339-15-36,kozlov@riservice.ru

нет округа,Ремонт бамперов,"",,,,

ЮАО,Ренессанс-Сервис,"г. Серпухов, Калужский пер. д 10",,,,

ЮВАО,РЕНСЕРВИС,"г. Дзержинский, 140091, ул. Энергетиков, д.28",,,,
СВАО,Реском,"Полярный пр 18 (пн-пт 9-18, сб 11-16)","","","",kashenkov@rsgrp.ru
ВАО,РесурсФинанс,Плеханова 5,,,,kuzov@lifan-car.ru

ЮВАО,РесурсФинанс-МКАД,19 км МКАД д.12,,,,

САО,РН Сервис МО,Химки. Ленинградское ш. влад 18,,,,
САО,РОЛЬФ (бывший Рольф Химки),"М.О.,г.Химки, Ленинградское ш., влад. 21 (ПН-ПТ 9-18, Обед 13-14)","","",+7(495)127-41-30 (доб.77460),rolf_himki@mail.ru
САО,РОЛЬФ (бывший Рольф Химки),"М.О.,г.Химки, Ленинградское ш., влад. 21 (ПН-ПТ 9-18, Обед 13-14)","","",+7(923)325-9777,""
ЮАО,Рольф Варшавка,Варшавское шоссе 127,"","","",gvurusov@rolf.ru
ЮАО,Рольф Варшавка,Варшавское шоссе 127,"","","",semishin@rolf.ru
ЮАО,Рольф Варшавка,Варшавское шоссе 127,Александр,Шалимов,8-903-624-54-54,Rolf_varshavka@mail.ru
ЮВАО,Рольф Волгоградский,"Остаповский проезд, 4 (ул. Обручева, д.27, корп.1)","","",+7(963)604-9840,rolf_volgogradskij@mail.ru
ЮВАО,Рольф Волгоградский,"Остаповский проезд, 4 (ул. Обручева, д.27, корп.1)",Алексей Котов,"",89163780311,""
ЮВАО,Рольф Восток,Рязанский проспект 24 к.3 (по средам),"","","",dyomelchenko@rolf.ru
ЮВАО,Рольф Восток,Рязанский проспект 24 к.3 (по средам),Виталий,"",8-977-258-16-69,ISKravchuk@rolf.ru
ЮВАО,Рольф Восток,Рязанский проспект 24 к.3 (по средам),"","",+7(916)770-3370,East-security@rolf.ru
САО,Рольф Дмитровка,"Дмитровское ш., дом 107Д","","",+7(965)228-10-50,Pelikan.dmitrovka@mail.ru
САО,Рольф Дмитровка,"Дмитровское ш., дом 107Д","","",+7(903)629-59-35,""
ЮАО,Рольф Каширка,г. Москва 24 км МКАД внешняя сторона,Игорь,"",8-925-126-07-30,rolf_kashirka@mail.ru
ЮАО,Рольф Каширка,г. Москва 24 км МКАД внешняя сторона,"","","+7 (495) 974-22-23, доб. 70753",SNBahtin@rolf.ru
ЮАО,Рольф Каширка,г. Москва 24 км МКАД внешняя сторона,"","",965-228-10-50,""
ЗАО,РОЛЬФ Моторс (Филиал Ясенево),"г. Москва, 40-й км МКАД (внешняя сторона), вл. 1, стр. 2",Василий,Ковалев,8 (906)656-98-96,rolf_yasenevo@mail.ru
ЗАО,РОЛЬФ Моторс (Филиал Ясенево),"г. Москва, 40-й км МКАД (внешняя сторона), вл. 1, стр. 2",Василий,Ковалев,8(999)789-70-82,""
ЗАО,РОЛЬФ Моторс (Филиал Ясенево),"г. Москва, 40-й км МКАД (внешняя сторона), вл. 1, стр. 2",Артем,Родионов,8 (916)766-24-48,PVPavlov1@rolf.ru
САО,"РОЛЬФ (филиал Алтуфьево, Диамант)","Алтуфьевское ш.,д.31, корп.1 (с собой копию доверенности и акт п/п в 2х экземплярах)",Влад,"",8-915-070-70-75,rolf_altufevo@mail.ru
САО,"РОЛЬФ (филиал Алтуфьево, Диамант)","Алтуфьевское ш.,д.31, корп.1 (с собой копию доверенности и акт п/п в 2х экземплярах)","","",8-926-218-56-67,""
САО,"РОЛЬФ (филиал Алтуфьево, Диамант)","Алтуфьевское ш.,д.31, корп.1 (с собой копию доверенности и акт п/п в 2х экземплярах)",Андрей ,"",+79250259203,""
